Metoda;ID rodzica 1;TreÊç rodzica 1;ID rodzica 2;TreÊç rodzica 2;Tekst syntetyczny;sim_to_p1;sim_to_p2;sim_avg
LLM;91706;Name the social injustices caused by the GOP and the death of anyone caused by members of it I dare you. How many people have lost their liv…;17581;She is the size of a stadium;She is the size of a stadium where the idiocy of gun control led to countless lives lost due to the GOP's perpetuated social injustices.;0,469;0,668;0,569
LLM;81503;He is a total phony.;10087;Gorgeous! And those tits are KILLER!;His fabricated boasts are stunning and really kill it.;0,414;0,195;0,305
LLM;56071;This isn't ya finest moment hun. Try again once you fix ya shit and knock this tweet away.;12221;"Antifa means anti-fascist"". I'm not sure there is an Antifa organization, but there are millions who are anti-fascist.  Why are you not one …";You're not doing your cause justice, mate, as your rant about anti-fascist activists seems misinformed on purpose.;0,267;0,342;0,305
LLM;81733;My guess is 44 got it from those 100's of $bil of money he stole from #fanniemae that sat off balance as a slush fund in   see #fannieGate. …;99720;How to develop their competitive skills and social skills in Home Schooling...as my child too complain abt bullying and unjust behaviour of …;It seems this #Fanniemae scandal shows us how bullies can exploit their power, just like teachers who misuse their authority in classrooms.;0,301;0,308;0,304
LLM;20561;Yeah no batman made him eat a rat and be was mostly like yo fuck this guy hes not cool hes a lunatic until dick also wants to get violent;41778;Beautiful and sexy.. üòçüòò;The social media influencer used derogatory terms to dissuade his critics, but her fans defended her as a stunning provocateur.;0,136;-0,054;0,041
SMOTE;75175;Liberal Dictionary: -Illegal Immigrants: Dreamers -Trump Supporters: Deplorable -MS-13 Killers: Human Beings -Human Beings in the Womb: Not …;75175;Liberal Dictionary: -Illegal Immigrants: Dreamers -Trump Supporters: Deplorable -MS-13 Killers: Human Beings -Human Beings in the Womb: Not …;-;1,000;1,000;1,000
SMOTE;60062;Nothing was stolen. Crybaby liberals didn‚Äôt get what they wanted so they‚Äôve been throwing temper tantrums for 2 years.;10008;Because they have a corrupt liberal government that steals from the people. Liberals at work....;-;0,705;0,959;0,832
SMOTE;17661;You are a dope. A delusional libtard. Ask the Govoner of Puerto Rico about the fantastic response by our President;25519;Bullshit. People died because of an incompetent government in Puerto Rico. And you can start with that mayor. Stop lying Gutierrez.;-;0,674;0,990;0,832
SMOTE;84321;Has this guy got acorns in his cheeks or what. Lack of walking around sense is astonishing with liberals.;49622;100% agree with Trump on this.  Surprised to see so many liberals talk about how cute he was sneaking candy at a war criminal's funeral. URL;-;0,696;0,967;0,832
SMOTE;65536;// Rean's Arcane Gale is broken. If he is gonna be able to use that from scratch in Sen IV ( because of his demon form) it's gonna be cool  …;36326;yeah but xenoblade sucks;-;0,998;0,291;0,645
