id	tweet	subtask_a	subtask_b	subtask_c
86426	 She should ask a few native Americans what their take on this is.	OFF	UNT	NULL
90194	  Go home you’re drunk!!!  #MAGA #Trump2020 👊🇺🇸👊 URL	OFF	TIN	IND
16820	Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT	NOT	NULL	NULL
62688	" Someone should'veTaken"" this piece of shit to a volcano. 😂"""	OFF	UNT	NULL
43605	  Obama wanted liberals &amp; illegals to move into red states	NOT	NULL	NULL
97670	 Liberals are all Kookoo !!!	OFF	TIN	OTH
77444	  Oh noes! Tough shit.	OFF	UNT	NULL
52415	 was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	OFF	TIN	GRP
45157	 Buy more icecream!!!	NOT	NULL	NULL
13384	 Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo	OFF	TIN	IND
82776	   It’s not my fault you support gun control	NOT	NULL	NULL
42992	 What’s the difference between #Kavanaugh and    One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL	NOT	NULL	NULL
28414	 you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL	OFF	TIN	IND
54920	   It should scare every American!  She is playing Hockey with a warped puck!	NOT	NULL	NULL
56392	                                                  I like my soda like I like my boarders with a lot of ICE.	NOT	NULL	NULL
86735	 you are also the king of taste	NOT	NULL	NULL
95686	#MAGA   🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL	NOT	NULL	NULL
71446	"5/5:  The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist"""	NOT	NULL	NULL
23958	 Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂	NOT	NULL	NULL
28195	   gun control! That is all these kids are asking for!	OFF	TIN	OTH
56117	    LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL	OFF	TIN	IND
67757	  You are correct.	NOT	NULL	NULL
12681	  Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	OFF	TIN	GRP
82904	  Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	OFF	TIN	GRP
63236	 Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL	NOT	NULL	NULL
77665	 Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	OFF	TIN	IND
83484	"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising"""	NOT	NULL	NULL
74932	  You can tell he is a hooper too	NOT	NULL	NULL
91252	 I feel like he is better chasing the title	NOT	NULL	NULL
25440	   She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?	OFF	UNT	NULL
81613	 Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL	NOT	NULL	NULL
82333	 Yes you are but I was asking what is it about the movie ?🤷‍♂️👀	NOT	NULL	NULL
12609	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	OFF	TIN	GRP
13017	 No wonder he is being apologetic and more social these day....	NOT	NULL	NULL
